id,new_title
1,"Auth: Negative: Register new user and verify account via email (3DS required, Discount eligible)"
2,"Auth: Sign in then sign out clears the session (3DS required)"
3,"Auth: Request password reset from login (EU address, US address)"
4,"Browse: Browse category, open product, return to category with state preserved (Discount eligible, US address)"
5,"Search: Search and sort results (Discount eligible)"
6,"Search: Negative: Apply multiple facets updates search results (EU address)"
7,"PDP: Negative: Add variant to cart and confirm selected variant is retained (Discount eligible)"
8,"Cart: Negative: Update cart quantity and remove item empties cart (EU address, Out-of-stock)"
9,"Cart: Merge guest cart into user cart on login (Discount eligible)"
10,"Cart: Apply promo code updates discount and totals (Out-of-stock)"
11,"Checkout: Guest checkout enters email and proceeds (EU address)"
12,"Checkout: Select address and shipping method during checkout (US address, 3DS required)"
13,"Checkout: Pay by card at checkout (Out-of-stock)"
14,"Checkout: Capture order number on confirmation (Discount eligible, 3DS required)"
15,"Orders: Open latest order and verify items and totals (Out-of-stock)"
16,"Orders: Request cancellation for an unshipped order (Out-of-stock)"
17,"Orders: Open shipment tracking details and verify tracking link (US address, Discount eligible)"
18,"Returns: Start a return request for an eligible order (Out-of-stock)"
19,"Orders: View refund-in-progress status updates (Out-of-stock, 3DS required)"
20,"Admin: Perform admin action and verify changes persist (3DS required, Discount eligible)"
21,"Admin: Sign in to admin and navigate to an admin section (Discount eligible)"
22,"Cart: Apply promo code updates discount and totals (3DS required)"
23,"Admin: Sign in to admin and navigate to an admin section (EU address, Discount eligible)"
24,"Auth: Start registration with new email and password (Discount eligible)"
25,"Auth: Sign in and land on authenticated area (3DS required)"
26,"Auth: Complete password reset via email and sign in with new password (US address)"
27,"Browse: Browse category listing (load more) and open a product (Out-of-stock, 3DS required)"
28,"Search: Negative: Search, sort results, and open a product (Discount eligible, Out-of-stock)"
29,"Search: Apply a filter facet updates search results (US address, Out-of-stock)"
30,"PDP: Select variant and add product to cart (Discount eligible)"
31,"Cart: Update cart quantity and remove item empties cart (Out-of-stock)"
32,"Cart: Negative: Merge guest cart into user cart on login (Discount eligible, 3DS required)"
33,"Cart: Negative: Apply then remove promo code updates totals (Out-of-stock, EU address)"
34,"Checkout: Guest checkout end-to-end (address, shipping, payment, place order) (US address)"
35,"Checkout: Select or add delivery address during checkout (US address, EU address)"
36,"Checkout: Pay by card at checkout (Discount eligible, 3DS required)"
37,"Orders: Capture order number and verify it appears in order history (EU address)"
38,"Orders: Open latest order from order history (Discount eligible)"
39,"Orders: Request cancellation for an unshipped order (Out-of-stock, Discount eligible)"
40,"Orders: Open shipment tracking details and verify tracking link (US address)"
41,"Returns: Start a return request for an eligible order (EU address)"
42,"Orders: View refund-in-progress status updates (Out-of-stock)"
43,"Admin: Sign in to admin and navigate to an admin section (US address, Discount eligible)"
44,"Admin: Perform admin action and verify changes persist (EU address)"
45,"Cart: Apply then remove promo code updates totals (3DS required, Discount eligible)"
46,"Admin: Perform admin action and verify changes persist (EU address)"
47,"Auth: Register new user and verify account via email (US address)"
48,"Auth: Negative: Sign in and land on authenticated area (3DS required)"
49,"Auth: Complete password reset via email and sign in with new password (Discount eligible)"
50,"Browse: Browse category listing (load more) and open a product (US address)"
51,"Search: Search and sort results (EU address, 3DS required)"
52,"Search: Apply facets then clear filters restores default results (US address, 3DS required)"
53,"PDP: Negative: Add variant to cart and confirm selected variant is retained (US address, 3DS required)"
54,"Cart: Update cart items (qty, remove, add different) recalculates totals (Discount eligible)"
55,"Cart: Negative: Guest cart persists after login (Out-of-stock)"
56,"Cart: Negative: Apply promo code updates discount and totals (Out-of-stock, Discount eligible)"
57,"Checkout: Negative: Guest checkout enters email and proceeds (Out-of-stock)"
58,"Checkout: Select or add delivery address during checkout (Discount eligible)"
59,"Checkout: Pay by card at checkout (EU address, 3DS required)"
60,"Checkout: Capture order number on confirmation (US address)"
61,"Orders: Open latest order and verify items and totals (US address, Out-of-stock)"
62,"Orders: Negative: Request cancellation for an unshipped order (3DS required)"
63,"Orders: Negative: Open shipment tracking details and verify tracking link (3DS required)"
64,"Returns: Create return request with reason and verify label availability (Discount eligible, EU address)"
65,"Orders: View refund-in-progress status updates (US address)"
66,"Admin: Sign in to admin and navigate to an admin section (Discount eligible)"
67,"Admin: Perform admin action and verify changes persist (Discount eligible, US address)"
68,"Cart: Apply promo code updates discount and totals (3DS required)"
69,"Admin: Perform admin action and verify changes persist (3DS required)"
70,"Auth: Negative: Register new user and verify account via email (Discount eligible)"
71,"Auth: Negative: Sign in and land on authenticated area (EU address, Out-of-stock)"
72,"Auth: Complete password reset via email and sign in with new password (Out-of-stock)"
73,"Browse: Negative: Browse category listing (load more) and open a product (US address, EU address)"
74,"Search: Search, sort results, and open a product (Out-of-stock, Discount eligible)"
75,"Search: Apply a filter facet updates search results (3DS required, US address)"
76,"PDP: Negative: Select variant and add product to cart (US address, Out-of-stock)"
77,"Cart: Update cart quantity and remove item empties cart (US address)"
78,"Cart: Guest cart persists after login (Out-of-stock)"
79,"Cart: Apply then remove promo code updates totals (Discount eligible)"
80,"Checkout: Negative: Guest checkout enters email and proceeds (EU address)"
