v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted,cf_6,cf_7,cf_8,cf_9,cf_10
,,,,,,,,,,,,,,,,,,,,2,,"01 Authentication",1
,,,,,,,,,,,,,,,,,,,,9,2,Registration,1
,,,,,,,,,,,,,,,,,,,,11,2,"Login & Sessions",1
,,,,,,,,,,,,,,,,,,,,12,2,"Password Reset",1
,,,,,,,,,,,,,,,,,,,,1,,"02 Search & Browse",1
,,,,,,,,,,,,,,,,,,,,8,1,"Filters & Facets",1
,,,,,,,,,,,,,,,,,,,,10,1,"Category Browse",1
,,,,,,,,,,,,,,,,,,,,13,1,"Search Results",1
,,,,,,,,,,,,,,,,,,,,17,1,"Product Detail (PDP)",1
,,,,,,,,,,,,,,,,,,,,3,,"03 Cart & Promotions",1
,,,,,,,,,,,,,,,,,,,,14,3,"Promo Codes",1
,,,,,,,,,,,,,,,,,,,,18,3,"Cart Persistence & Merge",1
,,,,,,,,,,,,,,,,,,,,16,3,"Cart Basics",1
,,,,,,,,,,,,,,,,,,,,6,,"04 Checkout",1
,,,,,,,,,,,,,,,,,,,,15,6,"Guest Checkout",1
,,,,,,,,,,,,,,,,,,,,19,6,"Address & Shipping",1
,,,,,,,,,,,,,,,,,,,,22,6,Payment,1
,,,,,,,,,,,,,,,,,,,,23,6,Confirmation,1
,,,,,,,,,,,,,,,,,,,,4,,"05 Orders",1
,,,,,,,,,,,,,,,,,,,,24,4,"Order History",1
,,,,,,,,,,,,,,,,,,,,25,4,Cancellation,1
,,,,,,,,,,,,,,,,,,,,27,4,"Shipment Tracking",1
,,,,,,,,,,,,,,,,,,,,7,,"06 Returns & Refunds",1
,,,,,,,,,,,,,,,,,,,,20,7,Returns,1
,,,,,,,,,,,,,,,,,,,,26,7,"Refund Status",1
,,,,,,,,,,,,,,,,,,,,5,,"07 Admin",1
,,,,,,,,,,,,,,,,,,,,21,5,"Catalog Management",1
,,,,,,,,,,,,,,,,,,,,28,5,"Order Operations",1
,,,,,,,,,,,,,,,,,,,,29,5,"Roles & Permissions",1
,,,,,,,,,,,,,,,,,,,,30,5,"Promotions Management",1
59,"Checkout: Pay by card at checkout (EU address, 3DS required)","Validates Admin behavior for admin scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,jira:",low,minor,functional,positive,to-be-automated,actual,no,api,classic,"1. ""Proceed to the payment step in checkout""
2. ""Enter card details""
","1. """"
2. """"
","1. """"
2. """"
",,,9,2,Registration,,,no,"Web UI","New user",Low,Automated,"EU address, 3DS required"
73,"Browse: Negative: Browse category listing (load more) and open a product (US address, EU address)","Validates Admin behavior for admin scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,jira:",medium,major,functional,negative,to-be-automated,actual,no,api,classic,"1. ""Open a product category page""
2. ""Scroll and load more items""
3. ""Open a product from the list""
","1. """"
2. """"
3. """"
","1. """"
2. """"
3. """"
",,,9,2,Registration,,,no,Payments,"New user",Low,Automated,"US address, EU address"
84,"Orders: Open latest order and verify items and totals (US address)","Validates Admin behavior for admin scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,jira:",medium,major,functional,positive,automated,actual,no,e2e,classic,"1. ""Sign in and open Order history""
2. ""Open the latest order""
3. ""Confirm items and totals match the order""
","1. """"
2. """"
3. """"
","1. """"
2. """"
3. """"
",,,9,2,Registration,,,no,"Backend API","New user",Low,Automated,"US address"
111,"Orders: View refund-in-progress status updates (EU address, Discount eligible)","Validates Admin behavior for admin scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,jira:",medium,major,functional,positive,automated,actual,no,api,classic,"1. ""Open an order with a refund in progress""
2. ""Review refund status""
3. ""Confirm status updates are visible""
","1. """"
2. """"
3. """"
","1. """"
2. """"
3. """"
",,,9,2,Registration,,,no,"Backend API","Returning user",Medium,Automated,"EU address, Discount eligible"
107,"Orders: Open latest order and verify items and totals (Out-of-stock)","Validates Admin behavior for admin scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,risk:high,jira:",high,critical,functional,positive,to-be-automated,actual,no,e2e,classic,"1. ""Sign in and open Order history""
2. ""Open the latest order""
3. ""Confirm items and totals match the order""
4. ""Confirm order status is correct""
","1. """"
2. """"
3. """"
4. """"
","1. """"
2. """"
3. """"
4. """"
",,,9,2,Registration,,,no,Admin,"New user",Medium,Automated,Out-of-stock
22,"Cart: Apply promo code updates discount and totals (3DS required)","Validates Admin behavior for guest scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,jira:",low,minor,functional,positive,to-be-automated,actual,no,api,classic,"1. ""Add eligible items to the cart""
2. ""Apply a promo code""
3. ""Confirm discount and totals update""
","1. """"
2. """"
3. """"
","1. """"
2. """"
3. """"
",,,11,2,"Login & Sessions",,,no,"Web UI","Returning user",High,"Not automated","3DS required"
9,"Cart: Merge guest cart into user cart on login (Discount eligible)","Validates Admin behavior for admin scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,risk:high,jira:",high,critical,functional,positive,is-not-automated,actual,no,e2e,classic,"1. ""Add an item to cart as a guest""
2. ""Log in to an existing account""
3. ""Confirm guest cart items merge into the user cart""
4. ""Refresh and confirm cart remains consistent""
","1. """"
2. """"
3. """"
4. """"
","1. """"
2. """"
3. """"
4. """"
",,,11,2,"Login & Sessions",,,no,"Web UI","New user",Medium,"Not automated","Discount eligible"
3,"Auth: Request password reset from login (EU address, US address)","Validates Backend API behavior for admin scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:backend-api,risk:high,jira:",high,critical,functional,positive,to-be-automated,actual,no,e2e,classic,"1. ""Open Login and select Forgot password""
2. ""Request a password reset for an existing account""
","1. """"
2. """"
","1. """"
2. """"
",,,11,2,"Login & Sessions",,,no,Payments,Guest,High,"Not automated","EU address, US address"
34,"Checkout: Guest checkout end-to-end (address, shipping, payment, place order) (US address)","Validates Admin behavior for guest scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,jira:",low,minor,functional,positive,to-be-automated,actual,no,e2e,classic,"1. ""Add items to cart and proceed to checkout""
2. ""Continue as guest and enter checkout email""
3. ""Enter address and select shipping""
4. ""Enter payment details and place the order""
","1. """"
2. """"
3. """"
4. """"
","1. """"
2. """"
3. """"
4. """"
",,,11,2,"Login & Sessions",,,no,Payments,Admin,High,Candidate,"US address"
43,"Admin: Sign in to admin and navigate to an admin section (US address, Discount eligible)","Validates Admin behavior for new user scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,jira:",low,minor,functional,positive,to-be-automated,actual,no,e2e,classic,"1. ""Sign in to ShopEase Admin""
2. ""Navigate to the relevant admin section""
","1. """"
2. """"
","1. """"
2. """"
",,,11,2,"Login & Sessions",,,no,Search,Guest,High,"Not automated","US address, Discount eligible"
61,"Orders: Open latest order and verify items and totals (US address, Out-of-stock)","Validates Admin behavior for guest scenarios.","Seeded demo users exist (see attached CSV) and API is reachable.","No persistent side effects beyond demo data; cleanup not required.","demo,component:admin,jira:",low,minor,functional,positive,to-be-automated,actual,no,e2e,classic,"1. ""Sign in and open Order history""
2. ""Open the latest order""
3. ""Confirm items and totals match the order""
4. ""Confirm order status is correct""
","1. """"
2. """"
3. """"
4. """"
","1. """"
2. """"
3. """"
4. """"
",,,11,2,"Login & Sessions",,,no,Payments,Admin,High,Automated,"US address, Out-of-stock"
